Date,Symbol,Open,High,Low,Close,Volume,Month,Daily_Return,Price_Change,Sector
2023-11-02 05:30:00,JSWSTEEL,728.0,734.4,725.0,733.35,1095177,2023-11,1.2285181862102146,5.350000000000023,STEEL
2023-11-03 05:30:00,JSWSTEEL,735.95,748.0,735.0,746.05,2526039,2023-11,1.731778823208563,10.099999999999909,STEEL
2023-11-06 05:30:00,JSWSTEEL,748.1,756.45,744.9,754.0,2782755,2023-11,1.0656122243817512,5.899999999999977,STEEL
2023-11-07 05:30:00,JSWSTEEL,757.0,759.6,746.95,748.6,2288975,2023-11,-0.7161803713527815,-8.399999999999977,STEEL
2023-11-08 05:30:00,JSWSTEEL,750.0,757.75,745.0,756.7,2664277,2023-11,1.0820197702377854,6.7000000000000455,STEEL
2023-11-09 05:30:00,JSWSTEEL,756.7,759.9,749.05,750.85,2579350,2023-11,-0.7730936963129431,-5.850000000000023,STEEL
2023-11-10 05:30:00,JSWSTEEL,751.9,759.0,745.05,754.75,1108868,2023-11,0.5194113338216733,2.8500000000000227,STEEL
2023-11-12 05:30:00,JSWSTEEL,760.0,761.0,753.0,756.55,133415,2023-11,0.23848956608147898,-3.4500000000000455,STEEL
2023-11-13 05:30:00,JSWSTEEL,756.55,763.25,753.0,761.1,942603,2023-11,0.6014143149824847,4.550000000000068,STEEL
2023-11-15 05:30:00,JSWSTEEL,769.0,782.5,769.0,772.85,2443652,2023-11,1.543818157929322,3.8500000000000227,STEEL
2023-11-16 05:30:00,JSWSTEEL,770.5,774.3,763.4,769.15,1699954,2023-11,-0.47874749304522846,-1.3500000000000227,STEEL
2023-11-17 05:30:00,JSWSTEEL,772.0,774.9,766.0,768.8,1567731,2023-11,-0.045504778001692614,-3.2000000000000455,STEEL
2023-11-20 05:30:00,JSWSTEEL,769.9,772.0,760.65,761.85,1024654,2023-11,-0.904006243496347,-8.049999999999955,STEEL
2023-11-21 05:30:00,JSWSTEEL,766.85,779.6,765.95,775.8,1846834,2023-11,1.8310691080921426,8.949999999999932,STEEL
2023-11-22 05:30:00,JSWSTEEL,775.8,776.75,765.5,768.45,1312655,2023-11,-0.9474091260634032,-7.349999999999909,STEEL
2023-11-23 05:30:00,JSWSTEEL,771.95,777.95,767.15,775.55,1068229,2023-11,0.9239377968637941,3.599999999999909,STEEL
2023-11-24 05:30:00,JSWSTEEL,779.0,786.25,776.4,782.05,2069730,2023-11,0.8381148862097954,3.0499999999999545,STEEL
2023-11-28 05:30:00,JSWSTEEL,785.0,785.55,778.75,782.35,858569,2023-11,0.03836071862413082,-2.6499999999999773,STEEL
2023-11-29 05:30:00,JSWSTEEL,783.2,794.7,783.2,793.25,1481172,2023-11,1.3932383204448007,10.049999999999955,STEEL
2023-11-30 05:30:00,JSWSTEEL,794.0,808.15,789.6,801.1,3142500,2023-11,0.9895997478726715,7.100000000000023,STEEL
2023-12-01 05:30:00,JSWSTEEL,805.0,815.0,796.9,810.8,2064512,2023-12,1.2108351017350971,5.7999999999999545,STEEL
2023-12-04 05:30:00,JSWSTEEL,820.0,823.4,812.35,819.6,2789349,2023-12,1.0853478046374043,-0.39999999999997726,STEEL
2023-12-05 05:30:00,JSWSTEEL,816.0,826.0,814.2,821.7,1338828,2023-12,0.25622254758419505,5.7000000000000455,STEEL
2023-12-06 05:30:00,JSWSTEEL,824.95,833.4,815.2,824.7,1543909,2023-12,0.3650967506389158,-0.25,STEEL
2023-12-07 05:30:00,JSWSTEEL,828.95,830.0,817.85,819.15,1717648,2023-12,-0.6729719898144859,-9.800000000000068,STEEL
2023-12-08 05:30:00,JSWSTEEL,824.8,853.45,822.1,839.35,7142037,2023-12,2.4659708234145317,14.550000000000068,STEEL
2023-12-11 05:30:00,JSWSTEEL,841.55,847.0,831.8,845.1,1630946,2023-12,0.6850539107642772,3.550000000000068,STEEL
2023-12-12 05:30:00,JSWSTEEL,846.6,862.8,845.25,853.85,2518863,2023-12,1.0353804283516732,7.25,STEEL
2023-12-13 05:30:00,JSWSTEEL,854.85,859.2,840.0,851.4,2170707,2023-12,-0.28693564443403874,-3.4500000000000455,STEEL
2023-12-14 05:30:00,JSWSTEEL,860.0,861.55,845.8,847.4,2711444,2023-12,-0.46981442330279455,-12.600000000000023,STEEL
2023-12-15 05:30:00,JSWSTEEL,854.05,870.55,851.6,867.2,4058044,2023-12,2.3365588860042585,13.150000000000091,STEEL
2023-12-18 05:30:00,JSWSTEEL,844.0,865.55,836.15,854.9,4324786,2023-12,-1.4183579335793395,10.899999999999977,STEEL
2023-12-19 05:30:00,JSWSTEEL,855.55,861.5,847.6,858.7,1285256,2023-12,0.444496432331265,3.150000000000091,STEEL
2023-12-20 05:30:00,JSWSTEEL,859.0,863.75,839.7,842.25,1764901,2023-12,-1.9156865028531533,-16.75,STEEL
2023-12-21 05:30:00,JSWSTEEL,830.0,847.65,820.1,841.9,2106856,2023-12,-0.041555357672906634,11.899999999999977,STEEL
2023-12-22 05:30:00,JSWSTEEL,845.0,857.55,843.1,855.3,1846933,2023-12,1.5916379617531673,10.299999999999955,STEEL
2023-12-26 05:30:00,JSWSTEEL,857.5,863.0,849.95,852.3,1294151,2023-12,-0.35075412136093,-5.2000000000000455,STEEL
2023-12-27 05:30:00,JSWSTEEL,858.45,881.5,855.65,875.9,2466359,2023-12,2.7689780593687763,17.449999999999932,STEEL
2023-12-28 05:30:00,JSWSTEEL,882.9,895.75,874.0,880.8,4482599,2023-12,0.5594245918483898,-2.1000000000000227,STEEL
2023-12-29 05:30:00,JSWSTEEL,882.0,887.5,873.3,880.25,1906630,2023-12,-0.062443233424158695,-1.75,STEEL
2024-01-01 05:30:00,JSWSTEEL,880.25,884.8,875.0,877.6,778184,2024-01,-0.3010508378301635,-2.6499999999999773,STEEL
2024-01-02 05:30:00,JSWSTEEL,883.85,883.85,859.1,870.2,1615515,2024-01,-0.8432087511394681,-13.649999999999977,STEEL
2024-01-03 05:30:00,JSWSTEEL,870.0,870.0,836.0,837.65,3983411,2024-01,-3.7405194208228076,-32.35000000000002,STEEL
2024-01-04 05:30:00,JSWSTEEL,840.25,843.8,835.0,837.1,1878399,2024-01,-0.06565988181220783,-3.1499999999999773,STEEL
2024-01-05 05:30:00,JSWSTEEL,838.95,845.8,827.2,829.4,2060548,2024-01,-0.9198423127463884,-9.550000000000068,STEEL
2024-01-08 05:30:00,JSWSTEEL,835.75,836.65,820.7,821.95,1107367,2024-01,-0.8982396913431279,-13.799999999999955,STEEL
2024-01-09 05:30:00,JSWSTEEL,828.5,831.95,819.25,821.4,1458862,2024-01,-0.0669140458665507,-7.100000000000023,STEEL
2024-01-10 05:30:00,JSWSTEEL,823.85,831.35,811.2,829.8,1265739,2024-01,1.0226442658874957,5.949999999999932,STEEL
2024-01-11 05:30:00,JSWSTEEL,834.8,836.75,820.1,822.05,1205504,2024-01,-0.9339599903591234,-12.75,STEEL
2024-01-12 05:30:00,JSWSTEEL,824.5,830.8,821.25,825.8,1326357,2024-01,0.4561766315917426,1.2999999999999545,STEEL
2024-01-15 05:30:00,JSWSTEEL,827.7,830.5,820.0,825.15,1497605,2024-01,-0.07871155243399652,-2.550000000000068,STEEL
2024-01-16 05:30:00,JSWSTEEL,827.65,839.5,819.35,832.3,1920936,2024-01,0.8665091195540153,4.649999999999977,STEEL
2024-01-17 05:30:00,JSWSTEEL,830.0,830.0,810.05,812.65,1433551,2024-01,-2.360927550162195,-17.350000000000023,STEEL
2024-01-18 05:30:00,JSWSTEEL,812.5,814.5,792.6,803.65,1991900,2024-01,-1.107487848397215,-8.850000000000023,STEEL
2024-01-19 05:30:00,JSWSTEEL,805.25,820.7,805.25,816.65,1358166,2024-01,1.617619610526977,11.399999999999977,STEEL
2024-01-20 05:30:00,JSWSTEEL,822.0,822.8,806.2,808.2,506539,2024-01,-1.0347149941835498,-13.799999999999955,STEEL
2024-01-23 05:30:00,JSWSTEEL,808.25,816.0,788.45,790.4,1533222,2024-01,-2.2024251422915198,-17.850000000000023,STEEL
2024-01-24 05:30:00,JSWSTEEL,795.0,814.0,784.0,812.2,1490515,2024-01,2.758097165991913,17.200000000000045,STEEL
2024-01-25 05:30:00,JSWSTEEL,815.0,821.0,792.8,815.7,3240065,2024-01,0.4309283427727184,0.7000000000000455,STEEL
2024-01-29 05:30:00,JSWSTEEL,819.05,823.6,804.0,811.7,1574830,2024-01,-0.4903763638592573,-7.349999999999909,STEEL
2024-01-30 05:30:00,JSWSTEEL,818.0,829.35,810.15,812.0,1892910,2024-01,0.03695946778365933,-6.0,STEEL
2024-01-31 05:30:00,JSWSTEEL,812.0,822.0,808.05,818.65,1954023,2024-01,0.8189655172413657,6.649999999999977,STEEL
2024-02-01 05:30:00,JSWSTEEL,822.0,822.0,800.1,801.7,2287350,2024-02,-2.0704818909179634,-20.299999999999955,STEEL
